english,1,1,blue
english,1,2,blue
english,1,3,blue
english,1,4,blue
english,1,5,azure
english,1,6,green
english,1,7,purple
english,1,8,blue
english,1,9,violet
english,1,0,blue
italian,2,1,blu
italian,2,2,azurro
italian,2,3,azurro
italian,2,4,celeste
italian,2,5,azurro
italian,2,6,verde
italian,2,7,porpora
italian,2,8,blu
italian,2,9,viola
italian,2,0,azurro
english,3,1,blue
english,3,2,blue
english,3,3,blue
english,3,4,blue
english,3,5,azure
english,3,6,green
english,3,7,purple
english,3,8,blue
english,3,9,violet
english,3,0,blue
italian,4,1,blu
italian,4,2,azurro
italian,4,3,azurro
italian,4,4,celeste
italian,4,5,azurro
italian,4,6,verde
italian,4,7,porpora
italian,4,8,blu
italian,4,9,viola
italian,4,0,azurro
