-4.00225,1.18601,-0.32721
-4.01855,-0.94062,0.24674
1.03577,0.04708,-0.97149
1.29786,0.82809,-0.37367
1.50529,0.76719,0.43445
-3.539,-1.31192,-0.30669
1.01211,-0.14506,-0.71846
1.21257,0.72943,-0.64551
1.58098,-0.19039,0.25959
1.54643,0.4856,0.51743
0.85942,-0.48505,-1.23223
1.24085,0.53622,-0.60002
-3.09465,1.26307,0.49882
-0.7963,-1.38689,2.06447
1.37625,-1.27463,-0.01324
-4.80419,-0.62233,-0.40478
-3.82784,0.19725,-0.04556
1.33292,0.14673,-0.62771
-2.28723,0.63547,0.70989
1.44529,-0.72444,-0.01188
1.69371,0.32883,0.43714
1.60006,-0.34815,0.08457
-2.7634,1.74856,0.42013
-2.16922,-0.6002,-0.79886
0.72637,0.19894,1.18859
1.5942,-0.30184,0.06885
1.59217,-0.21429,0.06903
1.36776,0.08616,-0.68947
0.04016,1.46077,0.22968
1.54947,-0.48989,0.21092
-4.84319,-0.62359,-0.42123
-3.9938,-1.01918,0.23612
1.40757,0.38394,-0.44861
-3.80365,0.94271,-0.23142
1.34831,0.89675,-0.47836
0.74005,0.19519,-1.26054
1.40217,0.32758,-0.47648
0.80176,-0.94697,-1.37284
1.70146,0.01089,0.36618
-3.96539,1.18287,-0.34148
1.58345,-0.06884,0.07217
1.63352,0.39258,0.53174
-3.83734,0.9704,-0.24009
-0.17943,-0.54653,1.73441
1.41743,0.17774,-0.56972
1.59739,0.0665,0.3661
0.99484,-0.7348,-0.75696
1.59759,0.51923,0.37707
-1.71079,-1.64893,-0.32348
1.59131,-0.09138,0.18953
1.64327,0.08992,0.45761
1.40805,0.30502,-0.4726
1.23015,-0.03693,-0.86255
0.78189,-0.92468,-0.859
1.55378,0.43869,0.50502
1.39499,-0.567,0.09991
1.37409,-0.06996,-0.6966
0.67821,0.14949,1.29474
0.03877,1.45586,0.2541
-0.91001,-1.42323,2.10787
1.55833,-0.16404,0.12585
1.47868,0.0164,0.24128
1.60621,-0.6221,-0.00058
-4.06486,-1.48306,-0.4225
-3.79392,0.95327,-0.19722
1.63817,0.34432,0.54256
1.49926,-0.31301,0.26224
-2.22824,0.34992,0.59093
1.64581,0.47194,0.48221
0.90562,-0.15332,0.89647
0.77148,-0.81332,-0.9754
